,act,char,title
0,Heath Ledger,Patrick Verona,10 Things I Hate About You
1,Julia Stiles,Katarina Stratford,10 Things I Hate About You
2,Joseph Gordon-Levitt,Cameron James,10 Things I Hate About You
3,Larisa Oleynik,Bianca Stratford,10 Things I Hate About You
4,David Krumholtz,Michael Eckman,10 Things I Hate About You
5,Andrew Keegan,Joey Donner,10 Things I Hate About You
6,Susan May Pratt,Mandella,10 Things I Hate About You
7,Gabrielle Union,Chastity,10 Things I Hate About You
8,Larry Miller,Walter Stratford,10 Things I Hate About You
9,Daryl Mitchell,Mr. Morgan,10 Things I Hate About You
10,Allison Janney,Ms. Perky,10 Things I Hate About You
11,David Leisure,Mr. Chapin,10 Things I Hate About You
12,Greg Jackson,Scruvy,10 Things I Hate About You
13,Kyle Cease,Bogey Lowenstein,10 Things I Hate About You
14,Terence Heuston,Derek,10 Things I Hate About You
15,Cameron Fraser,Trevor,10 Things I Hate About You
16,Eric Riedmann,Audio Visual Guy,10 Things I Hate About You
17,Quinn Maixner,Beautiful Jock,10 Things I Hate About You
18,Demegio Kimbrough,Coffee Kid,10 Things I Hate About You
19,Todd Butler,Coffee Kid,10 Things I Hate About You
20,Dennis Mosley,Cohort,10 Things I Hate About You
21,Bianca Kajlich,Coffee Girl,10 Things I Hate About You
22,Nick Vukelic,Drugged Out Loser,10 Things I Hate About You
23,Ben Laurance,Wimpy Loser,10 Things I Hate About You
24,Aidan Kennedy,Laughing Loser,10 Things I Hate About You
25,Jelani Quinn,Crying Loser,10 Things I Hate About You
26,Jesse Dyer,Screaming Loser,10 Things I Hate About You
27,Aaron Therol,Detention Student,10 Things I Hate About You
28,Carlos Lacamara,Bartender,10 Things I Hate About You
29,Joshua Thorpe,Jock,10 Things I Hate About You
30,J.R. Johnson,MBA Guy at Party,10 Things I Hate About You
31,Wendy Gottlieb,Heather,10 Things I Hate About You
32,Brian Hood,Clem,10 Things I Hate About You
33,Travis Muller,Cowboy,10 Things I Hate About You
34,Ari Karczag,Kissing Guy,10 Things I Hate About You
35,Laura Kenny,Judith,10 Things I Hate About You
36,Alice Evans,Perky Girl,10 Things I Hate About You
37,Jesper Inglis,Buckaroo Bartender,10 Things I Hate About You
38,Nick Brown,Biker,10 Things I Hate About You
39,Monique Powell,Save Ferris Singer,10 Things I Hate About You
40,Brian Mashburn,Save Ferris Singer,10 Things I Hate About You
41,Kay Hanley,Letters To Cleo Singer,10 Things I Hate About You
42,Michael Eisenstein,Letters To Cleo Singer,10 Things I Hate About You
43,Michelle Babin,Girl in Night Club,10 Things I Hate About You
44,Tim Bennett,School Administrator,10 Things I Hate About You
45,Shelsie Blake,Bookstore Patron,10 Things I Hate About You
46,Greg Bronson,Chef,10 Things I Hate About You
47,Frank Caraan,Marching Band Leader,10 Things I Hate About You
48,James Huffman,Student,10 Things I Hate About You
49,Gil Junger,Teacher,10 Things I Hate About You
50,Daniel Kountz,Admirer #1,10 Things I Hate About You
51,Alisa Mackay,Coffee Girl #2,10 Things I Hate About You
52,Katy Magnuson,Beautiful Girl,10 Things I Hate About You
53,Amber Matthews,Club Dancer #1,10 Things I Hate About You
54,Joshua Mosley,Cohort,10 Things I Hate About You
55,Travis Nelson,Lawn Chair Guy,10 Things I Hate About You
56,Bridget O'Neill,Beautiful Girl,10 Things I Hate About You
57,Mar Party,Frisbee Thrower,10 Things I Hate About You
58,Justin Thoemke,Football Kid,10 Things I Hate About You
59,Jordan Watt,Coffee Kid,10 Things I Hate About You
60,Jay Zorich,Roland,10 Things I Hate About You
61,Jay Zorich,High School Security Cop,10 Things I Hate About You
0,Chace Crawford,White Mike,Twelve
1,Rory Culkin,Chris,Twelve
2,Philip Ettinger,Hunter,Twelve
3,Esti Ginzburg,Sara Ludlow,Twelve
4,50 Cent,Lionel,Twelve
5,Zoë Kravitz,Gabby,Twelve
6,Billy Magnussen,Claude,Twelve
7,Emily Meade,Jessica Brayson,Twelve
8,Emma Roberts,Molly,Twelve
9,Ellen Barkin,Jessica's Mother,Twelve
10,Kiefer Sutherland,Narrator,Twelve
11,Ako,Mrs. Fong,Twelve
12,Dionne Audain,Nana's Mother,Twelve
13,Gregg Bello,Detective Keminski,Twelve
14,Maxx Brawer,Andrew,Twelve
15,Jermaine Crawford,Nana,Twelve
16,Chanel Maya Banks,Shelly,Twelve
17,Alexander Flores,Arturo,Twelve
18,Alice Barrett,White Mike's Mother,Twelve
19,Alexandra Neil,Mimi Kenton,Twelve
20,Ethan Peck,Sean,Twelve
21,Charlie Saxton,Mark Rothko,Twelve
22,Erik Per Sullivan,Timmy,Twelve
23,Nico Tortorella,Tobias,Twelve
24,Jeremy Allen White,Charlie,Twelve
25,Isiah Whitlock Jr.,Detective Dumont,Twelve
26,Grim Reaper Q.,Big K,Twelve
27,Cody Horn,Alissa,Twelve
28,Liam McMullan,Royal,Twelve
29,Peter Cary Peterson,Guy Kissing Jessica,Twelve
30,Thomas McDonell,Kid in Plaid Tie,Twelve
31,Jack Kimball,Young White Mike,Twelve
32,Klavdia Ramnareine,Attractive Lady,Twelve
33,Damian Young,Hunter's Father,Twelve
34,Steve Grodewald,Tattoo Guy,Twelve
35,Stephanie Ittleson,Ethics Teacher,Twelve
36,Josh Casaubon,Donnie,Twelve
37,Fiana Toibin,Dorrine,Twelve
38,Rosalyn Coleman,Nurse,Twelve
39,Rock Kohli,Star Deli Clerk,Twelve
40,Finn Wittrock,Warren,Twelve
41,Ed Moran,Avery Kimball Esq.,Twelve
42,Joseph Adams,White Mike's Father,Twelve
43,Gabrielle Lee,Andrew's Mother,Twelve
44,Kirkryan McFarland,Party Guest,Twelve
0,Conor Donovan,Jacob,12 and Holding
1,Conor Donovan,Rudy Carges,12 and Holding
2,Jesse Camacho,Leonard Fisher,12 and Holding
3,Zoe Weizenbaum,Malee Chuang,12 and Holding
4,Jeremy Renner,Gus Maitland,12 and Holding
5,Annabella Sciorra,Carla Chuang,12 and Holding
6,Jayne Atkinson,Ashley Carges,12 and Holding
7,Linus Roache,Jim Carges,12 and Holding
8,Marcia DeBonis,Grace Fisher,12 and Holding
9,Tom McGowan,Patrick Fisher,12 and Holding
10,Michael C. Fuchs,Kenny,12 and Holding
11,Martin Campetta,Jeff,12 and Holding
12,Joseph Foster,Keith Gardner,12 and Holding
13,Max Miner,Tommy,12 and Holding
14,Noelle 'Parker' Present,Haley Fisher,12 and Holding
15,Jessica Sorto,Sara Fisher,12 and Holding
16,Adam LeFevre,Gabe Artunion,12 and Holding
17,Bruce Altman,Coach Gilmore,12 and Holding
18,Mark Linn-Baker,Mr. Farmer,12 and Holding
19,Julia Ryan,Funeral Guest #1,12 and Holding
20,Terry Walters,Funeral Guest #2,12 and Holding
21,Robertson Carricart,Priest,12 and Holding
22,Tony Roberts,Doctor,12 and Holding
23,Marcella Lowery,Nurse,12 and Holding
24,Jodie Markell,Teacher,12 and Holding
25,Bianca Ryan,Singing Girl,12 and Holding
26,Merritt Wever,Debbie Poole,12 and Holding
27,Michael A. Siravo IV,Guitar Guy,12 and Holding
28,Emilio Cuesta,Kid in Red,12 and Holding
0,Joseph Melito,Young Cole,Twelve Monkeys
1,Bruce Willis,James Cole,Twelve Monkeys
2,Jon Seda,Jose,Twelve Monkeys
3,Michael Chance,Scarface,Twelve Monkeys
4,Vernon Campbell,Tiny,Twelve Monkeys
5,H. Michael Walls,Botanist,Twelve Monkeys
6,Bob Adrian,Geologist,Twelve Monkeys
7,Simon Jones,Zoologist,Twelve Monkeys
8,Carol Florence,Astrophysicist,Twelve Monkeys
9,Carol Florence,Jones,Twelve Monkeys
10,Bill Raymond,Microbiologist,Twelve Monkeys
11,Ernest Abuba,Engineer,Twelve Monkeys
12,Irma St. Paule,Poet,Twelve Monkeys
13,Madeleine Stowe,Kathryn Railly,Twelve Monkeys
14,Joey Perillo,Detective Franki,Twelve Monkeys
15,Bruce Kirkpatrick,Policeman No. 1,Twelve Monkeys
16,Wilfred Williams,Policeman No. 2,Twelve Monkeys
17,Rozwill Young,Billings,Twelve Monkeys
18,Brad Pitt,Jeffrey Goines,Twelve Monkeys
19,Nell Johnson,Ward Nurse,Twelve Monkeys
20,Frederick Strother,L.J. Washington,Twelve Monkeys
21,Rick Warner,Dr. Casey,Twelve Monkeys
22,Frank Gorshin,Dr. Fletcher,Twelve Monkeys
23,Anthony 'Chip' Brienza,Dr. Goodin,Twelve Monkeys
24,Joilet Harris,Harassed Mother,Twelve Monkeys
25,Drucie McDaniel,Waltzing Woman Patient,Twelve Monkeys
26,John Blaisse,Old Man Patient,Twelve Monkeys
27,Louis Lippa,Patient at Gate,Twelve Monkeys
28,Stan Kang,X-Ray Doctor,Twelve Monkeys
29,Pat Dias,WWI Captain,Twelve Monkeys
30,Aaron Michael Lacey,WWI Sergeant,Twelve Monkeys
31,David Morse,Dr. Peters,Twelve Monkeys
32,Charles Techman,Professor,Twelve Monkeys
33,Jann Ellis,Marilou,Twelve Monkeys
34,Johnnie Hobbs Jr.,Officer No. 1,Twelve Monkeys
35,Janet Zappala,Anchorwoman,Twelve Monkeys
36,Thomas Roy,Evangelist,Twelve Monkeys
37,Harry O'Toole,Louie,Twelve Monkeys
38,Harry O'Toole,Raspy Voice,Twelve Monkeys
39,Korchenko,Thug No. 1,Twelve Monkeys
40,Chuck Jeffreys,Thug No. 2,Twelve Monkeys
41,LisaGay Hamilton,Teddy,Twelve Monkeys
42,Felix Pire,Fale,Twelve Monkeys
43,Matt Ross,Bee,Twelve Monkeys
44,Barry Price,Agent No. 1,Twelve Monkeys
45,John Panzarella,Agent No. 2,Twelve Monkeys
46,Christopher Plummer,Dr. Goines,Twelve Monkeys
47,Larry Daly,Agent No. 3,Twelve Monkeys
48,Arthur Fennell,Anchorman,Twelve Monkeys
49,Karl Warren,Pompous Man,Twelve Monkeys
50,Christopher Meloni,Lt. Halperin,Twelve Monkeys
51,Paul Meshejian,Detective Dalva,Twelve Monkeys
52,Robert O'Neill,Wayne,Twelve Monkeys
53,Kevin Thigpen,Kweskin,Twelve Monkeys
54,Lee Golden,Hotel Clerk,Twelve Monkeys
55,Joseph McKenna,Wallace,Twelve Monkeys
56,Jeff Tanner,Plain Clothes Cop,Twelve Monkeys
57,Faith Potts,Store Clerk,Twelve Monkeys
58,Michael Ryan Segal,Weller,Twelve Monkeys
59,Annie Golden,Woman Cabbie,Twelve Monkeys
60,Lisa Talerico,Ticket Agent,Twelve Monkeys
61,Stephen Bridgewater,Airport Detective,Twelve Monkeys
62,Ray Huffman,Plump Businessman,Twelve Monkeys
63,Jodi Dawson,Gift Store Clerk,Twelve Monkeys
64,Jack Dougherty,Airport Security No. 1,Twelve Monkeys
65,Lenny Daniels,Airport Security No. 2,Twelve Monkeys
66,Herbert C. Hauls Jr.,Airport Security No. 3,Twelve Monkeys
67,Charley Scalies,Impatient Traveler,Twelve Monkeys
68,Carolyn Walker,Terrified Traveler,Twelve Monkeys
69,Tiffany Baldwin,Student in Airport,Twelve Monkeys
70,Bart the Bear,Bear,Twelve Monkeys
71,C.J. Byrnes,Psychiatric Patient,Twelve Monkeys
72,Phillip V. Caruso,French War Photographer,Twelve Monkeys
73,Tom Detrik,FBI Agent,Twelve Monkeys
74,Donald Faison,Psyciatric Prisoner,Twelve Monkeys
75,Kelly Farnan,Kissing Couple,Twelve Monkeys
76,Joe Gerety,Sprayer,Twelve Monkeys
77,Laura Glas,Terrified Traveler #2,Twelve Monkeys
78,Robert Gleason,1st Man at book signing,Twelve Monkeys
79,John Hagy,Bus Passenger,Twelve Monkeys
80,Adam Hatley,Drug Addict,Twelve Monkeys
81,Bonnie Loev,Time Portal Nurse,Twelve Monkeys
82,Julie Mabry,Prostitute,Twelve Monkeys
83,Raymond Mamrak,Travler,Twelve Monkeys
84,Sal Mazzotta,Prisoner Joey,Twelve Monkeys
85,Roger Pratt,Man Tying Shoe in Hotel,Twelve Monkeys
86,Allelon Ruggiero,Inpatient,Twelve Monkeys
87,Renee Spei,Demon,Twelve Monkeys
88,Richard Stanley,Man in Transit Lounge,Twelve Monkeys
89,Thang,Monkey Member,Twelve Monkeys
90,Susan Wool-Rush,Avid Fan,Twelve Monkeys
0,Chiwetel Ejiofor,Solomon Northup,12 Years a Slave
1,Dwight Henry,Uncle Abram,12 Years a Slave
2,Dickie Gravois,Overseer,12 Years a Slave
3,Bryan Batt,Judge Turner,12 Years a Slave
4,Ashley Dyke,Anna,12 Years a Slave
5,Kelsey Scott,Anne Northup,12 Years a Slave
6,Quvenzhané Wallis,Margaret Northup,12 Years a Slave
7,Cameron Zeigler,Alonzo Northup,12 Years a Slave
8,Tony Bentley,Mr. Moon,12 Years a Slave
9,Scoot McNairy,Brown,12 Years a Slave
10,Taran Killam,Hamilton,12 Years a Slave
11,Christopher Berry,Burch,12 Years a Slave
12,Bill Camp,Radburn,12 Years a Slave
13,Mister Mackey Jr.,Randall,12 Years a Slave
14,Chris Chalk,Clemens,12 Years a Slave
15,Craig Tate,John,12 Years a Slave
16,Adepero Oduye,Eliza,12 Years a Slave
17,Storm Reid,Emily,12 Years a Slave
18,Tom Proctor,Biddee,12 Years a Slave
19,Marc Macaulay,Captain,12 Years a Slave
20,Vivian Fleming-Alvarez,Mulatto Woman,12 Years a Slave
21,Michael Kenneth Williams,Robert,12 Years a Slave
22,Douglas M. Griffin,Sailor,12 Years a Slave
23,John McConnell,Jonus Ray,12 Years a Slave
24,Marcus Lyle Brown,Jasper,12 Years a Slave
25,Richard Holden,Fitzgerald,12 Years a Slave
26,Rob Steinberg,Parker,12 Years a Slave
27,Paul Giamatti,Freeman,12 Years a Slave
28,Anwan Glover,Cape,12 Years a Slave
29,Benedict Cumberbatch,Ford,12 Years a Slave
30,James C. Victor,Buyer,12 Years a Slave
31,Liza J. Bennett,Mistress Ford,12 Years a Slave
32,Nicole Collins,Rachel,12 Years a Slave
33,J.D. Evermore,Chapin,12 Years a Slave
34,Paul Dano,Tibeats,12 Years a Slave
35,Michael Fassbender,Edwin Epps,12 Years a Slave
36,Sarah Paulson,Mistress Epps,12 Years a Slave
37,Lupita Nyong'o,Patsey,12 Years a Slave
38,Andy Dylan,Treach,12 Years a Slave
39,Deneen Tyler,Phebe,12 Years a Slave
40,Mustafa Harris,Sam,12 Years a Slave
41,Gregory Bright,Edward,12 Years a Slave
42,Austin Purnell,Bob,12 Years a Slave
43,Thomas Francis Murphy,Patroller,12 Years a Slave
44,Andre De'Sean Shanks,Victim 1,12 Years a Slave
45,Kelvin Harrison Jr.,Victim 2,12 Years a Slave
46,Scott Michael Jefferson,Master Shaw,12 Years a Slave
47,Alfre Woodard,Mistress Shaw,12 Years a Slave
48,Isaiah Jackson,Zachary,12 Years a Slave
49,Garret Dillahunt,Armsby,12 Years a Slave
50,Topsy Chapman,Slave Spiritual Singer 1,12 Years a Slave
51,Devin Maurice Evans,Slave Spiritual Singer 2,12 Years a Slave
52,Brad Pitt,Bass,12 Years a Slave
53,Jay Huguley,Sheriff,12 Years a Slave
54,Devyn A. Tyler,Margaret Northup,12 Years a Slave
55,Willo Jean-Baptiste,Margaret's Husband,12 Years a Slave
56,Dudley Fuqua,Slave on Epps farm,12 Years a Slave
57,Jason Ament,Cooke,12 Years a Slave
58,Jon Arthur,Steamboat Crew 1st Mate,12 Years a Slave
59,Sean Paul Braud,Lynchman,12 Years a Slave
60,Blake Burt,Upper Class Pedestrian,12 Years a Slave
61,Carroll Burt,Lower Class Pedestrian,12 Years a Slave
62,Joseph Randy Causin,Steamboat Crew,12 Years a Slave
63,Edward J. Clare,Restaurant Patron,12 Years a Slave
64,JJ Coker,Mr. Bartholomew,12 Years a Slave
65,Haylie Creppel,Child in the Park,12 Years a Slave
66,Robert D'Arensbourg,Restaurant Patron,12 Years a Slave
67,Emily D. Haley,Tea Seller,12 Years a Slave
68,Mark Anthony Hardin,Street Slave,12 Years a Slave
69,Mark Joyce,Street Merchant,12 Years a Slave
70,John C. Klein,Lumber Mill Customer,12 Years a Slave
71,Cynthia LeBlanc,Washington D.C. Pedestrian,12 Years a Slave
72,Elton LeBlanc,Hotel Dining Patron,12 Years a Slave
73,Allen Gibson Mann,Slave Buyer,12 Years a Slave
74,Kevonte Mcdonald,Slave,12 Years a Slave
75,Ritchie Montgomery,Roadman,12 Years a Slave
76,Myesha-Tiara,Edwin Epps's Slave,12 Years a Slave
77,Jason Owen,Safty,12 Years a Slave
78,Shawn Parsons,Road Man,12 Years a Slave
79,Haley Powell,Slave Girl,12 Years a Slave
80,Wayne Pére,Winslow,12 Years a Slave
81,Terrell Ransom Jr.,Slave Boy,12 Years a Slave
82,Erin Rementer,Ballroom Dancer,12 Years a Slave
83,Andre Robinson,Slave Boy,12 Years a Slave
84,Katherine Jeanie Russell,Upper Class Pedestrian,12 Years a Slave
85,Philip A Scott,Slave,12 Years a Slave
86,Jarett Shorts,Hornboy,12 Years a Slave
87,Chaz Smith,Cigar Smoker,12 Years a Slave
88,Tyler Soerries,Boy Playing in Park,12 Years a Slave
89,Tre Tureaud,Saratoga Park Pedestrians,12 Years a Slave
90,Justin Christopher Vaughn,Ezra,12 Years a Slave
91,Bob Walker,Abolitionist Landowner,12 Years a Slave
92,Caroline Grace Williamson,Ford Daughter,12 Years a Slave
93,Timothy Wyant,Ford Lumber Buyer,12 Years a Slave
94,Rosé Belara Young,Lethe,12 Years a Slave
0,James Franco,Aron Ralston,127 Hours
1,Kate Mara,Kristi,127 Hours
2,Amber Tamblyn,Megan,127 Hours
3,Sean Bott,Aron's Friend,127 Hours
4,Koleman Stinger,Aron Age 5,127 Hours
5,Treat Williams,Aron's Dad,127 Hours
6,John Lawrence,Brian,127 Hours
7,Kate Burton,Aron's Mom,127 Hours
8,Bailee Michelle Johnson,Sonja Age 10,127 Hours
9,Parker Hadley,Aron Age 15,127 Hours
10,Clémence Poésy,Rana,127 Hours
11,Fenton Quinn,Blue John,127 Hours
12,Lizzy Caplan,Sonja,127 Hours
13,Peter Joshua Hull,Boy on Sofa,127 Hours
14,Pieter Jan Brugge,Eric Meijer,127 Hours
15,Rebecca C. Olson,Monique Meijer,127 Hours
16,Jeffrey Wood,Andy Meijer,127 Hours
17,Norman Lehnert,Dan,127 Hours
18,Xmas Lutu,Helicopter Co-Pilot,127 Hours
19,Terry S. Mercer,Helicopter Pilot,127 Hours
20,Darin Southam,Zach,127 Hours
21,Johnny Ahn,Basketball Fan,127 Hours
22,Robert Bear,Aron's Friend,127 Hours
23,Luke Drake,Aron's Friend,127 Hours
24,Christopher K. Hagadone,Basketball Fan,127 Hours
25,Elizabeth Hales,Patron,127 Hours
26,Zachary Haycock,Reporter,127 Hours
27,Kelly Higgins,Fan,127 Hours
28,Brad Johnson,Friend of Aaron,127 Hours
29,Lonzo Liggins,Reporter,127 Hours
30,Samantha Marsden,Media person,127 Hours
31,Samantha Marsden,Basketball Game Fan,127 Hours
32,Kelsie Mathews,Basketball Fan,127 Hours
33,Amber Mccoy,Bridesmaid & Girl in jeep,127 Hours
34,Kyle Paul,Best Man,127 Hours
35,Priscilla Poland,Bridesmaid,127 Hours
36,Aron Ralston,Himself,127 Hours
37,Jessica Ralston,Herself,127 Hours
38,Amy Savannah,Basketball Fan,127 Hours
39,Stacey Ann Turner,Aron's Friend,127 Hours
0,Gérard Depardieu,Columbus,1492: Conquest of Paradise
1,Armand Assante,Sanchez,1492: Conquest of Paradise
2,Sigourney Weaver,Queen Isabel,1492: Conquest of Paradise
3,Loren Dean,Older Fernando,1492: Conquest of Paradise
4,Ángela Molina,Beatrix,1492: Conquest of Paradise
5,Fernando Rey,Marchena,1492: Conquest of Paradise
6,Michael Wincott,Moxica,1492: Conquest of Paradise
7,Tchéky Karyo,Pinzon,1492: Conquest of Paradise
8,Kevin Dunn,Captain Mendez,1492: Conquest of Paradise
9,Frank Langella,Santangel,1492: Conquest of Paradise
10,Mark Margolis,Bobadilla,1492: Conquest of Paradise
11,Kario Salem,Arojaz,1492: Conquest of Paradise
12,Billy L. Sullivan,Fernando,1492: Conquest of Paradise
13,John Heffernan,Brother Buyl,1492: Conquest of Paradise
14,Arnold Vosloo,Guevara,1492: Conquest of Paradise
15,Steven Waddington,Bartolome,1492: Conquest of Paradise
16,Fernando Guillén Cuervo,Giacomo,1492: Conquest of Paradise
17,José Luis Ferrer,Alonso,1492: Conquest of Paradise
18,Bercelio Moya,Utapan,1492: Conquest of Paradise
19,Juan Diego Botto,Diego,1492: Conquest of Paradise
20,Achero Mañas,Ship's Boy,1492: Conquest of Paradise
21,Fernando García Rimada,King Ferdinand,1492: Conquest of Paradise
22,Albert Vidal,Hernando de Talavera,1492: Conquest of Paradise
23,Isabel Prinz,Duenna,1492: Conquest of Paradise
24,Ángela Rosal,Pinzon's Wife,1492: Conquest of Paradise
25,Jack Taylor,Vicuna,1492: Conquest of Paradise
26,Cole Henderson,Helmsman,1492: Conquest of Paradise
27,Silvia Montero,Pinzon's Daughter,1492: Conquest of Paradise
0,Robert De Niro,Detective Eddie Flemming,15 Minutes
1,Edward Burns,Fire Marshal Jordy Warsaw,15 Minutes
2,Kelsey Grammer,Robert Hawkins,15 Minutes
3,Avery Brooks,Detective Leon Jackson,15 Minutes
4,Melina Kanakaredes,Nicolette Karas,15 Minutes
5,Karel Roden,Emil Slovak,15 Minutes
6,Oleg Taktarov,Oleg Razgul,15 Minutes
7,Vera Farmiga,Daphne Handlova,15 Minutes
8,John DiResta,Bobby Korfin,15 Minutes
9,James Handy,Deputy Chief Fire Marshal Declan Duffy,15 Minutes
10,Darius McCrary,Detective Tommy Cullen,15 Minutes
11,Bruce Cutler,Himself,15 Minutes
12,Charlize Theron,Rose Hearn,15 Minutes
13,Kim Cattrall,Cassandra,15 Minutes
14,David Alan Grier,Mugger in Central Park,15 Minutes
15,Vladimir Mashkov,Milos Karlova,15 Minutes
16,Arina Gasanova,Tamina Karlova,15 Minutes
17,Noelle Evans,Honey the Hooker,15 Minutes
18,Mindy Marin,Maggie,15 Minutes
19,Christine Claibourne,Maggie's Assistant,15 Minutes
20,Paul Herman,Detective Paulie,15 Minutes
21,Gabriel Casseus,Unique,15 Minutes
22,Joe Lisi,Police Captain,15 Minutes
23,Stephen Davis,Murphy,15 Minutes
24,William Stanton,Garcia,15 Minutes
25,Louis F. Garcia,Fire Chief,15 Minutes
26,Mike Camello,Fireman Camello,15 Minutes
27,Tygh Runyan,Stephen Geller,15 Minutes
28,Barry Blueian,Immigration Supervisor,15 Minutes
29,Ritchie Coster,News Stand Vendor,15 Minutes
30,Roseanne Barr,Herself,15 Minutes
31,Ashton Dane,Talk Show Father,15 Minutes
32,Gail Greaves,Talk Show Wife,15 Minutes
33,Bobby Field,Talk Show Son,15 Minutes
34,Anton Yelchin,Boy in Burning Building,15 Minutes
35,Lynette Ruiz,Composite Artist,15 Minutes
36,Kurt Andon,Pizza Man,15 Minutes
37,Rikki Klieman,Daphne's Lawyer,15 Minutes
38,Sebastian Roché,Ludwig the Hairdresser,15 Minutes
39,Kata Dobó,Redhead at Ludwig's,15 Minutes
40,Elma Vann,Escort Service Woman Linda,15 Minutes
41,Olga Morgunova,Escort Service Woman #2,15 Minutes
42,Dorit Sauer,Escort Service Woman #3,15 Minutes
43,Haik Garibyan,Emigrant,15 Minutes
44,Marco Khan,Emigrant,15 Minutes
45,Toni Kalem,Woman at Planet Hollywood,15 Minutes
46,Jorge H. Guzman,Bouncer at Planet Hollywood,15 Minutes
47,Lennox Brown,Lookout Guy,15 Minutes
48,George Poulos,Greek Waiter,15 Minutes
49,Peter Arnett,Himself,15 Minutes
50,Sylvia Lopez,TV Newscaster #1,15 Minutes
51,Jane Velez-Mitchell,TV Newscaster #2,15 Minutes
52,Bryan Foster,Hawkins' Cameraman,15 Minutes
53,Alan Cohen,Hawkins' Sound Man,15 Minutes
54,Spero Stamboulis,Nicolette's Cameraman,15 Minutes
55,Joseph Alfieri,Reporter,15 Minutes
56,Barry Primus,Cab Driver,15 Minutes
57,Julieta Espinoza,Unique's Girlfriend,15 Minutes
58,Brantley Bush,Fireman,15 Minutes
59,Macy Merced,Paramedic #1,15 Minutes
60,Tracey Mulqueen,Paramedic #2,15 Minutes
61,Scott Dillin,Battery Park Policeman,15 Minutes
62,Dominic Maglione,Police Officer #1,15 Minutes
63,Ron Wall,Police Officer #2,15 Minutes
64,Dwayne Adway,Additional voices,15 Minutes
65,Sophia Alexis,Witness,15 Minutes
66,Michael Arthur,NYPD #2,15 Minutes
67,William H. Burns,Uniformed Cop,15 Minutes
68,Jamie Burton-Oare,Reporter,15 Minutes
69,Giovanni Capitello,Police Officer,15 Minutes
70,Phillip V. Caruso,Arguing Husband,15 Minutes
71,Mark Cheek,Cameraman,15 Minutes
72,Rose Colasanti,Woman in Bar,15 Minutes
73,Rebeca Cristian,Pedestrian,15 Minutes
74,Ben Fiore,Police Officer,15 Minutes
75,Celeste Gregoire,Girl in Restaurant,15 Minutes
76,Zuhair Haddad,Airport Passenger,15 Minutes
77,Philippe Hartmann,NY Daily News Reporter,15 Minutes
78,Everton Lawrence,Restaurant Patron,15 Minutes
79,Janean Christine Mariani,Restaurant Guest,15 Minutes
80,Riley G. Matthews Jr.,NYPD Police Officer,15 Minutes
81,George F. Miller,TV News Reporter,15 Minutes
82,Leda Mulholland,Reporter,15 Minutes
83,Floyd Resnick,NYPD Officer at Ludwig's,15 Minutes
84,Eric Rosenberg,Pedestrian in Times Sq.,15 Minutes
85,Brian Schreier,Officer Thompkins,15 Minutes
86,Erica Taylor,Nightclub Patron,15 Minutes
87,Ellen Whyte,Woman #2 at Planet Hollywood,15 Minutes
0,Zac Efron,Mike O'Donnell,17 Again
1,Leslie Mann,Scarlet,17 Again
2,Thomas Lennon,Ned Gold,17 Again
3,Matthew Perry,Mike O'Donnell,17 Again
4,Tyler Steelman,Ned Gold,17 Again
5,Allison Miller,Scarlet,17 Again
6,Sterling Knight,Alex,17 Again
7,Michelle Trachtenberg,Maggie,17 Again
8,Adam Gregory,Dom,17 Again
9,Hunter Parrish,Stan,17 Again
10,Mario Cassem,Samir,17 Again
11,Kat Graham,Jamie,17 Again
12,Tiya Sircar,Samantha,17 Again
13,Melissa Ordway,Lauren,17 Again
14,Melora Hardin,Principal Jane Masterson,17 Again
15,Brian Doyle-Murray,Janitor,17 Again
16,Josie Loren,Nicole,17 Again
17,Jim Gaffigan,Coach Murphy,17 Again
18,Randy Gordon,Photographer,17 Again
19,Collette Wolfe,Wendy,17 Again
20,Tommy Dewey,Roger,17 Again
21,Linda Miller,Female Janitor,17 Again
22,Lorna Scott,Secretary,17 Again
23,Kodi Kitchen,Hostess,17 Again
24,Ellis Williams,Bailiff,17 Again
25,Diana Maria Riva,Judge,17 Again
26,Jeff Snyder,Waiter,17 Again
27,Antonio Lewis Todd,Referee,17 Again
28,Angee Hughes,Waitress,17 Again
29,Ed Ackerman,School Cop,17 Again
30,Will Schaub,Referee,17 Again
31,Loren Lester,Mike's Lawyer,17 Again
32,Alexander George,Kid in Hallway,17 Again
33,Nicole Sullivan,Naomi,17 Again
34,Margaret Cho,Mrs. Dell,17 Again
35,Larry Poindexter,Dean,17 Again
36,Bubba Lewis,Dorky Kid,17 Again
37,Chris Valenti,Syracuse Scout,17 Again
38,G. Lane Hillman,Kevin,17 Again
39,Hope Riley,Girl,17 Again
40,Jeanine Jackson,Scarlet's Lawyer,17 Again
41,Gregory Sporleder,Ohio Scout,17 Again
42,Keith Oney,Guy in Crowd,17 Again
43,Leonard Wu,Kid,17 Again
44,Liana Blackburn,Cheerleader,17 Again
45,Lindsay Taylor,Cheerleader,17 Again
46,Danielle E. Hawkins,Cheerleader,17 Again
47,Shelby Rabara,Cheerleader,17 Again
48,Katrina Norman,Cheerleader,17 Again
49,Tiana Brown,Cheerleader,17 Again
50,Rhapsody,Cheerleader,17 Again
